time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/std,train/loss,train/n_updates,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
620,1584,3244032,5230,-0.10733997821807861,0.0003,0.2,3.1879240959882735,0.007582707016263157,0.00026294018941825926,0.28857421875,0.04913833737373352,-0.008385023102164268,15830,0.020391496,0.22979467,9989.0
620,1585,3246080,5232,0.0002614259719848633,0.0003,0.2,3.2017031371593476,0.007736112028214848,0.001032626141648052,0.4044921875,0.048831772059202194,0.025639167055487633,15840,0.07177332,0.22979467,9989.0
620,1586,3248128,5235,0.018126606941223145,0.0003,0.2,3.2114796064794064,0.010186889838951173,0.0010340834732232907,0.36865234375,0.048585858196020126,0.025850394740700722,15850,0.08940506,0.21196449,9989.0
620,1587,3250176,5238,0.054572999477386475,0.0003,0.2,3.235037176311016,0.0031243226352671628,0.0037303175511624433,0.27724609375,0.047639936208724976,0.010773831978440285,15860,0.06395757,0.21196449,9989.0
620,1588,3252224,5241,-0.22965800762176514,0.0003,0.2,3.2524647019803523,0.009422205531882355,0.0007288534788585821,0.3025390625,0.04799054563045502,-0.019809924066066742,15870,0.025826091,0.21196449,9989.0
620,1589,3254272,5243,-0.0012229681015014648,0.0003,0.2,3.25655712261796,0.007019565136579331,0.0008069539506777801,0.3359375,0.047341249883174896,0.018266426399350166,15880,0.03467253,0.21196449,9989.0
620,1590,3256320,5246,-0.11793756484985352,0.0003,0.2,3.269547726213932,0.005926518623891752,0.00044849488095906055,0.33173828125,0.047104284167289734,0.028690142557024956,15890,0.03823192,0.21196449,9989.0
620,1591,3258368,5249,0.10183465480804443,0.0003,0.2,3.2833588391542436,0.009890375885879621,0.0037438824591845333,0.371630859375,0.04698305204510689,0.003080890513956547,15900,0.03383547,0.19696969000000003,9989.0
620,1592,3260416,5252,0.0158005952835083,0.0003,0.2,3.2886585049331187,0.0064137061985093165,0.0035460910727124428,0.355908203125,0.04665375500917435,0.013911890797317028,15910,0.046937395,0.19696969000000003,9989.0
620,1593,3262464,5255,-0.08432638645172119,0.0003,0.2,3.274213478714228,0.005570661529782228,0.0007971101818839088,0.31875,0.047619570046663284,0.022267606109380722,15920,0.052344896,0.19696969000000003,9989.0
620,1594,3264512,5259,-0.0026923418045043945,0.0003,0.2,3.256358118355274,0.005265179807611276,0.0006610328440956436,0.32548828125,0.04755653440952301,0.0002356651093577966,15930,0.049327493,0.19696969000000003,9989.0
620,1595,3266560,5261,0.03525429964065552,0.0003,0.2,3.2696069799363614,0.0073257445888884835,0.0009068459028185316,0.33544921875,0.04708641394972801,0.028542909771203995,15940,0.03999977,0.18398865000000003,9989.0
620,1596,3268608,5264,0.1569618582725525,0.0003,0.2,3.2966861851513385,0.007952589052729308,0.0029840283414614534,0.3771484375,0.0462360680103302,-0.024993253871798515,15950,0.102745846,0.18398865000000003,9989.0
620,1597,3270656,5267,-0.001059889793395996,0.0003,0.2,3.3164607010781766,0.011519062366278376,0.0036387453795214244,0.45283203125,0.04607611894607544,0.00571180135011673,15960,0.08641026,0.18398865000000003,9989.0
