time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/n_updates,train/std
2333,1257,2574336,1103,1071.0,2.4877441799999995,0.034918025,0.0003,1.5085383340716363,0.0009502033761236816,0.27721840143203735,0.0019784584796070704,0.345947265625,0.005414350889623165,0.2,12560,0.11423857510089874
2335,1258,2576384,1103,1071.0,2.48716172,0.0359222,0.0003,1.4970469795167447,0.0026680373048293404,0.2723650336265564,0.0019268584277597257,0.324755859375,-0.023464595898985863,0.2,12570,0.11472560465335846
2337,1259,2578432,1102,1071.0,2.48178023,0.04593636,0.0003,1.5059797275811433,-0.008591379528661491,0.27904146909713745,0.0020430685162864393,0.318994140625,0.011396336369216442,0.2,12580,0.11347061395645142
2339,1260,2580480,1102,1071.0,2.47211939,0.04116612,0.0003,1.5148838732391596,0.0030983740420197138,0.27010053396224976,0.0020408910659170942,0.3392578125,-0.009310898371040821,0.2,12590,0.11403453350067139
2341,1261,2582528,1102,1071.0,2.46567937,0.034706607,0.0003,1.5068903617560863,0.001780467682692688,0.2870144844055176,0.001941838786115113,0.32705078125,0.005491981282830238,0.2,12600,0.11407848447561264
2343,1262,2584576,1102,1071.0,2.4624627799999996,0.035263497,0.0003,1.4978740066289902,0.0030858780577545986,0.27757835388183594,0.0019914076390705306,0.337451171875,-0.004299348685890436,0.2,12610,0.11530059576034546
2345,1263,2586624,1102,1071.0,2.4565175499999996,0.038603164,0.0003,1.4934951595962047,0.0008869601580954623,0.2748033404350281,0.001930048584472388,0.308154296875,0.013472429476678371,0.2,12620,0.11445531249046326
2348,1264,2588672,1102,1071.0,2.45366919,0.04686617,0.0003,1.4903769005089997,-0.0013918845368607435,0.2708292007446289,0.002182068411639193,0.354541015625,0.0043730661273002625,0.2,12630,0.11551681905984879
2349,1265,2590720,1102,1071.0,2.44985501,0.038999844,0.0003,1.4915043726563453,-0.001180665532592684,0.26766693592071533,0.0020701254723462627,0.33486328125,-0.025261715054512024,0.2,12640,0.11418436467647552
2351,1266,2592768,1102,1071.0,2.45132061,0.035536516,0.0003,1.5136499781161548,-0.002810242549458053,0.2335737943649292,0.0015858321894484106,0.323095703125,-0.01342778280377388,0.2,12650,0.11335334181785583
2353,1267,2594816,1102,1071.0,2.4455603200000002,0.033804193,0.0003,1.5235864765942098,0.0010532387401326559,0.2701205611228943,0.0019754632103285985,0.29658203125,0.030566317960619926,0.2,12660,0.11278654634952545
2355,1268,2596864,1102,1071.0,2.4447540199999995,0.036045283,0.0003,1.5279410608112811,0.0003626402103691362,0.2642427086830139,0.001997530640801415,0.33662109375,-0.03415364772081375,0.2,12670,0.11253656446933746
2356,1269,2598912,1102,1071.0,2.4388116099999997,0.03925973,0.0003,1.539411611109972,0.003164466567977797,0.2742319703102112,0.001998864917732135,0.326123046875,-0.03263840824365616,0.2,12680,0.11161498725414276
2358,1270,2600960,1102,1071.0,2.4401860699999998,0.039267577,0.0003,1.5352942310273647,0.0036419441741600165,0.2880861759185791,0.0019358415349415737,0.34453125,-0.03542262315750122,0.2,12690,0.11296581476926804
2360,1271,2603008,1102,1071.0,2.4380891399999998,0.040659763,0.0003,1.527843627333641,0.0036119017968303524,0.2747023105621338,0.0020359686477604555,0.34912109375,-0.02753395028412342,0.2,12700,0.1128130555152893
2362,1272,2605056,1102,1071.0,2.43428149,0.034788255,0.0003,1.530465078726411,0.00035715264530153943,0.2790229320526123,0.001963119280117098,0.340185546875,0.0003039599396288395,0.2,12710,0.11242905259132385
2364,1273,2607104,1102,1071.0,2.42859826,0.031845283,0.0003,1.525950413942337,-0.0009314690527389757,0.28120917081832886,0.0019573108778786264,0.339794921875,-0.018701035529375076,0.2,12720,0.11315151304006577
2366,1274,2609152,1102,1071.0,2.428141980000001,0.039619878,0.0003,1.5263521373271942,-0.0034132696615415624,0.2550719380378723,0.0021419978937046837,0.320751953125,-0.0023961307015269995,0.2,12730,0.11253607273101807
2368,1275,2611200,1102,1071.0,2.4249747100000003,0.03728807,0.0003,1.5302198607474566,-0.0004866360111918766,0.27461332082748413,0.002075223192514386,0.32529296875,-0.019269829615950584,0.2,12740,0.1128375232219696
2370,1276,2613248,1102,1071.0,2.42166518,0.031298075,0.0003,1.5142649337649345,0.00583759792643832,0.2808331251144409,0.002063996600918472,0.308837890625,-0.021543744951486588,0.2,12750,0.11400435864925385
2371,1277,2615296,1102,1071.0,2.42037215,0.034546137,0.0003,1.4968156147748233,-0.00213283937482629,0.2594517469406128,0.0017734075847329223,0.340283203125,0.0281948484480381,0.2,12760,0.11504420638084412
2373,1278,2617344,1102,1071.0,2.42062874,0.03280986,0.0003,1.4985448829829693,-0.003314450914331246,0.28609031438827515,0.0015760718248202465,0.3330078125,-0.0390685573220253,0.2,12770,0.11361341923475266
2375,1279,2619392,1102,1071.0,2.41742263,0.03409686,0.0003,1.5075122643262149,0.003132067540718708,0.2820433974266052,0.001980403332345304,0.320166015625,0.004503358621150255,0.2,12780,0.11417242139577866
2377,1280,2621440,1102,1071.0,2.41661327,0.04454796,0.0003,1.4960478991270065,0.006205141903774347,0.28165876865386963,0.001931309743122256,0.330712890625,0.026089482009410858,0.2,12790,0.11488282680511475
2379,1281,2623488,1102,1071.0,2.41740976,0.030243121,0.0003,1.4869877327233554,0.0007225810855743475,0.2819485664367676,0.002008814950931992,0.325927734375,0.0063634710386395454,0.2,12800,0.11483781039714813
2381,1282,2625536,1102,1071.0,2.4159600699999997,0.044749208,0.0003,1.4883615389466285,0.003558010177948745,0.275304913520813,0.0019503054467350013,0.325,-0.010410577058792114,0.2,12810,0.11494369059801102
