time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/std,train/policy_gradient_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
3994,1142,585,2338816,39.74511572122574,14.889373779296875,0.023629426956176758,0.24677734375,2.5461732111871243,0.0003,11410,0.2,0.06781969964504242,-0.0023311642027692868,0.025241403,429.80132774,9989.0
3998,1143,585,2340864,49.027284228801726,19.489110946655273,0.009130477905273438,0.191259765625,2.547079332917929,0.0003,11420,0.2,0.06756669282913208,0.004640855561592616,0.01621946,429.80132774,9989.0
4001,1144,585,2342912,50.036854434013364,24.857831954956055,0.013048171997070312,0.230908203125,2.5340390242636204,0.0003,11430,0.2,0.06864231824874878,0.003754012062563561,0.02094605,429.80132774,9989.0
4005,1145,585,2344960,50.41922624111176,23.456378936767578,0.0026079416275024414,0.21171875,2.5349410556256773,0.0003,11440,0.2,0.06769363582134247,0.0032703479562769646,0.020460987,429.80132774,9989.0
4008,1146,585,2347008,37.668000268936154,18.416709899902344,0.0017489194869995117,0.223876953125,2.5573933959007262,0.0003,11450,0.2,0.06705887615680695,0.005607491933915298,0.01923846,429.80132774,9989.0
4012,1147,585,2349056,47.38737990260124,24.615745544433594,0.02396315336227417,0.21962890625,2.5548424668610097,0.0003,11460,0.2,0.06786169111728668,0.0018076715932693332,0.018926045,430.25606108,9989.0
4015,1148,585,2351104,45.12106545567512,25.502538681030273,0.010776042938232422,0.21796875,2.5431333683431148,0.0003,11470,0.2,0.06785455346107483,0.0011953716952120886,0.019858431,430.25606108,9989.0
4019,1149,585,2353152,44.95615946054458,22.645193099975586,0.012254774570465088,0.19033203125,2.5503575310111044,0.0003,11480,0.2,0.06728978455066681,0.0034983311779797077,0.025395654,430.25606108,9989.0
4023,1150,585,2355200,51.18933070898056,25.50969886779785,0.0019927024841308594,0.205078125,2.563342543691397,0.0003,11490,0.2,0.06713999807834625,0.005362830430385657,0.025809366,430.25606108,9989.0
4027,1151,585,2357248,46.793196910619734,21.010541915893555,0.003224968910217285,0.2443359375,2.562221774458885,0.0003,11500,0.2,0.06719627976417542,0.00601505211670883,0.025501221,430.25606108,9989.0
