time,open,high,low,close,tick_volume,spread,real_volume
2022-08-09 04:00:00,1789.18,1790.08,1783.83,1783.87,3250,3,0
2022-08-09 05:00:00,1783.84,1785.38,1783.26,1785.34,2216,0,0
2022-08-09 06:00:00,1785.34,1787.92,1785.27,1785.76,1706,8,0
2022-08-09 07:00:00,1785.76,1786.68,1785.32,1786.22,1093,9,0
2022-08-09 08:00:00,1786.22,1788.82,1785.45,1788.66,1609,2,0
2022-08-09 09:00:00,1788.72,1789.16,1784.44,1785.7,3283,2,0
2022-08-09 10:00:00,1785.68,1787.7,1783.54,1787.13,3957,0,0
2022-08-09 11:00:00,1787.13,1793.43,1786.42,1790.4,4531,0,0
2022-08-09 12:00:00,1790.39,1792.2,1788.28,1791.06,3629,1,0
2022-08-09 13:00:00,1791.04,1794.66,1790.22,1791.09,3700,0,0
2022-08-09 14:00:00,1791.06,1792.68,1789.47,1789.48,3588,0,0
2022-08-09 15:00:00,1789.48,1794.12,1788.02,1793.88,5464,0,0
2022-08-09 16:00:00,1793.99,1800.4,1792.64,1797.7,6916,0,0
2022-08-09 17:00:00,1797.65,1797.94,1790.48,1791.04,6705,0,0
2022-08-09 18:00:00,1791.04,1796.22,1790.18,1796.17,4900,0,0
2022-08-09 19:00:00,1796.17,1798.3,1794.83,1795.24,3607,0,0
2022-08-09 20:00:00,1795.27,1796.54,1793.82,1794.36,2990,0,0
2022-08-09 21:00:00,1794.44,1795.45,1793.36,1794.48,2207,0,0
2022-08-09 22:00:00,1794.48,1796.1,1794.02,1794.06,2021,8,0
2022-08-09 23:00:00,1794.05,1795.07,1793.6,1794.31,1253,0,0
2022-08-10 01:00:00,1794.55,1794.74,1793.75,1793.76,415,9,0
2022-08-10 02:00:00,1793.78,1794.56,1793.36,1794.22,854,8,0
2022-08-10 03:00:00,1794.21,1794.28,1791.68,1792.82,1578,9,0
2022-08-10 04:00:00,1792.67,1793.3,1791.1,1793.0,2417,0,0
2022-08-10 05:00:00,1793.0,1794.68,1792.66,1793.85,2085,6,0
2022-08-10 06:00:00,1793.84,1794.13,1791.02,1791.34,1718,3,0
2022-08-10 07:00:00,1791.33,1791.56,1789.88,1790.47,1024,0,0
2022-08-10 08:00:00,1790.45,1790.48,1788.27,1788.4,2077,0,0
2022-08-10 09:00:00,1788.32,1789.56,1787.61,1789.0,3143,0,0
2022-08-10 10:00:00,1789.0,1791.83,1788.63,1790.45,3952,1,0
2022-08-10 11:00:00,1790.48,1793.08,1788.66,1792.42,3932,0,0
2022-08-10 12:00:00,1792.41,1795.16,1791.72,1794.21,3094,0,0
2022-08-10 13:00:00,1794.21,1795.35,1790.45,1790.92,3034,0,0
2022-08-10 14:00:00,1790.9,1793.02,1789.21,1792.4,3430,0,0
2022-08-10 15:00:00,1792.42,1807.92,1788.16,1797.4,7936,0,0
2022-08-10 16:00:00,1797.38,1800.0,1791.66,1795.81,9496,0,0
2022-08-10 17:00:00,1795.74,1802.39,1795.02,1802.03,7779,0,0
2022-08-10 18:00:00,1802.0,1802.48,1797.01,1798.08,6042,0,0
2022-08-10 19:00:00,1798.06,1800.16,1796.7,1798.22,4289,0,0
2022-08-10 20:00:00,1798.22,1798.54,1794.73,1794.74,3804,0,0
2022-08-10 21:00:00,1794.84,1795.21,1789.08,1789.69,4613,0,0
2022-08-10 22:00:00,1789.6,1790.66,1788.18,1790.36,3105,0,0
2022-08-10 23:00:00,1790.32,1792.28,1790.01,1792.19,1195,0,0
2022-08-11 01:00:00,1792.08,1792.92,1790.94,1791.22,683,6,0
2022-08-11 02:00:00,1791.22,1791.86,1790.38,1791.78,710,8,0
2022-08-11 03:00:00,1791.77,1792.5,1789.66,1790.55,1524,3,0
2022-08-11 04:00:00,1790.55,1790.6,1787.26,1788.16,2628,0,0
2022-08-11 05:00:00,1788.23,1788.32,1784.48,1785.38,2588,3,0
2022-08-11 06:00:00,1785.38,1787.9,1785.21,1785.85,1668,0,0
2022-08-11 07:00:00,1785.86,1787.18,1784.2,1785.34,1571,1,0
2022-08-11 08:00:00,1785.3,1786.79,1783.58,1786.46,2201,5,0
2022-08-11 09:00:00,1786.46,1787.65,1783.92,1786.52,3974,0,0
2022-08-11 10:00:00,1786.5,1788.34,1785.48,1788.06,4244,0,0
2022-08-11 11:00:00,1788.04,1789.85,1785.72,1789.66,3950,0,0
2022-08-11 12:00:00,1789.67,1790.36,1787.86,1790.27,3385,0,0
2022-08-11 13:00:00,1790.24,1791.71,1789.08,1790.92,2814,0,0
2022-08-11 14:00:00,1790.79,1795.13,1790.71,1794.92,3935,0,0
2022-08-11 15:00:00,1794.92,1799.24,1792.76,1796.82,7141,0,0
2022-08-11 16:00:00,1796.75,1799.27,1791.11,1797.08,7468,0,0
2022-08-11 17:00:00,1797.06,1798.11,1791.45,1792.58,7509,0,0
2022-08-11 18:00:00,1792.6,1793.78,1786.42,1790.44,6930,0,0
2022-08-11 19:00:00,1790.45,1791.43,1788.56,1788.93,4229,0,0
2022-08-11 20:00:00,1788.95,1791.96,1788.16,1789.33,3913,2,0
2022-08-11 21:00:00,1789.34,1789.37,1787.04,1788.13,3311,1,0
2022-08-11 22:00:00,1788.2,1788.5,1785.08,1785.69,3027,0,0
2022-08-11 23:00:00,1785.61,1790.15,1785.61,1789.44,1512,0,0
2022-08-12 01:00:00,1789.82,1789.88,1787.78,1787.86,760,9,0
2022-08-12 02:00:00,1787.86,1789.8,1787.28,1789.01,845,4,0
2022-08-12 03:00:00,1788.96,1789.6,1786.76,1788.4,1886,0,0
2022-08-12 04:00:00,1788.48,1789.19,1786.72,1787.25,2493,1,0
2022-08-12 05:00:00,1787.25,1789.24,1786.22,1788.94,2145,6,0
2022-08-12 06:00:00,1788.94,1791.46,1788.72,1791.1,1676,0,0
2022-08-12 07:00:00,1791.1,1792.58,1790.49,1790.7,1368,7,0
2022-08-12 08:00:00,1790.7,1792.56,1790.08,1790.59,1815,2,0
2022-08-12 09:00:00,1790.62,1793.46,1790.45,1793.26,2973,5,0
2022-08-12 10:00:00,1793.26,1794.12,1787.32,1788.81,4211,0,0
2022-08-12 11:00:00,1788.79,1789.83,1786.08,1787.38,3779,0,0
2022-08-12 12:00:00,1787.4,1788.69,1786.14,1787.48,3106,0,0
2022-08-12 13:00:00,1787.6,1788.49,1785.87,1788.1,3711,0,0
2022-08-12 14:00:00,1788.1,1789.68,1784.94,1785.36,4515,0,0
2022-08-12 15:00:00,1785.34,1794.36,1785.02,1793.44,6020,0,0
2022-08-12 16:00:00,1793.44,1798.74,1792.57,1797.86,7088,0,0
2022-08-12 17:00:00,1797.36,1797.36,1790.44,1793.17,8421,0,0
2022-08-12 18:00:00,1793.22,1797.63,1792.32,1794.93,5551,0,0
2022-08-12 19:00:00,1794.94,1798.62,1794.94,1797.22,3587,0,0
2022-08-12 20:00:00,1797.22,1801.98,1797.11,1798.99,4174,0,0
2022-08-12 21:00:00,1799.0,1801.89,1798.14,1801.32,2159,0,0
2022-08-12 22:00:00,1801.36,1802.17,1799.6,1801.48,2538,0,0
2022-08-12 23:00:00,1801.51,1802.02,1800.3,1801.62,1134,5,0
2022-08-15 01:00:00,1802.03,1802.27,1799.74,1800.3,896,9,0
2022-08-15 02:00:00,1800.3,1800.6,1799.04,1799.16,764,8,0
2022-08-15 03:00:00,1799.11,1801.64,1798.78,1801.2,1922,5,0
2022-08-15 04:00:00,1801.18,1801.72,1796.82,1797.38,2847,0,0
2022-08-15 05:00:00,1797.38,1797.39,1794.71,1796.36,2474,0,0
2022-08-15 06:00:00,1796.38,1796.92,1793.94,1795.43,1547,5,0
2022-08-15 07:00:00,1795.43,1795.5,1793.65,1794.54,946,3,0
2022-08-15 08:00:00,1794.54,1794.76,1792.22,1792.38,1790,0,0
2022-08-15 09:00:00,1792.38,1793.04,1791.48,1791.68,2914,0,0
