,time,open,high,low,close,tick_volume,spread,real_volume,account_balance
4883,2021-10-21 15:00:00,0.74935,0.74997,0.74876,0.74966,3863,0,0,10000
4884,2021-10-21 16:00:00,0.74968,0.74983,0.74862,0.74907,4533,0,0,10000
4885,2021-10-21 17:00:00,0.74906,0.75051,0.74841,0.75039,5058,0,0,10000
4886,2021-10-21 18:00:00,0.75037,0.75046,0.74822,0.74912,3532,0,0,10000
4887,2021-10-21 19:00:00,0.74913,0.74927,0.74741,0.7475,2062,0,0,10000
4888,2021-10-21 20:00:00,0.7475,0.74751,0.74599,0.74605,2192,0,0,10000
4889,2021-10-21 21:00:00,0.74605,0.74651,0.74585,0.74646,2189,0,0,10000
4890,2021-10-21 22:00:00,0.74646,0.74669,0.74627,0.74648,1373,0,0,10000
4891,2021-10-21 23:00:00,0.74649,0.74686,0.74632,0.74667,964,0,0,10000
4892,2021-10-22 00:00:00,0.74663,0.74704,0.7457,0.74664,247,5,0,10000
4893,2021-10-22 01:00:00,0.74664,0.74694,0.7466,0.74667,542,0,0,10000
4894,2021-10-22 02:00:00,0.74667,0.74673,0.74586,0.74632,940,0,0,10000
4895,2021-10-22 03:00:00,0.74633,0.74694,0.74539,0.74693,2207,0,0,10000
4896,2021-10-22 04:00:00,0.74693,0.74892,0.74675,0.74864,3193,0,0,10000
4897,2021-10-22 05:00:00,0.74864,0.74881,0.74677,0.74738,2211,0,0,10000
4898,2021-10-22 06:00:00,0.74738,0.74784,0.74716,0.74764,1301,0,0,10000
4899,2021-10-22 07:00:00,0.74764,0.74794,0.74707,0.74758,1141,0,0,10000
4900,2021-10-22 08:00:00,0.74757,0.74808,0.74729,0.74742,1841,0,0,10000
4901,2021-10-22 09:00:00,0.74744,0.74914,0.7471,0.74879,3129,0,0,10000
4902,2021-10-22 10:00:00,0.74878,0.75018,0.74848,0.74961,4258,0,0,10000
4903,2021-10-22 11:00:00,0.74961,0.7506,0.74947,0.7505,2320,0,0,10000
4904,2021-10-22 12:00:00,0.7505,0.75084,0.74977,0.75084,1518,0,0,10000
4905,2021-10-22 13:00:00,0.75084,0.75122,0.74998,0.75042,1883,0,0,10000
4906,2021-10-22 14:00:00,0.75042,0.75107,0.75019,0.75031,1855,0,0,10000
4907,2021-10-22 15:00:00,0.7503,0.75032,0.74931,0.74971,3260,0,0,10000
4908,2021-10-22 16:00:00,0.74963,0.75027,0.74865,0.74982,3419,0,0,10000
4909,2021-10-22 17:00:00,0.74984,0.75036,0.74844,0.7488,3821,0,0,10000
4910,2021-10-22 18:00:00,0.7488,0.74956,0.74542,0.74628,6465,0,0,10000
4911,2021-10-22 19:00:00,0.74628,0.74717,0.74581,0.74673,3556,0,0,10000
4912,2021-10-22 20:00:00,0.74675,0.74689,0.74564,0.74574,2458,0,0,10000
4913,2021-10-22 21:00:00,0.74575,0.74686,0.74573,0.74652,2227,0,0,10000
4914,2021-10-22 22:00:00,0.74652,0.74704,0.74617,0.747,2399,0,0,10000
4915,2021-10-22 23:00:00,0.74699,0.74699,0.74632,0.74665,903,0,0,10000
4916,2021-10-25 00:00:00,0.74646,0.74654,0.74615,0.74642,151,47,0,10000
4917,2021-10-25 01:00:00,0.74651,0.74714,0.74647,0.74702,746,0,0,10000
4918,2021-10-25 02:00:00,0.74702,0.74707,0.74639,0.74687,1060,0,0,10000
4919,2021-10-25 03:00:00,0.74685,0.74771,0.74665,0.74733,1588,0,0,10000
4920,2021-10-25 04:00:00,0.74735,0.7481,0.74646,0.74715,2381,0,0,10000
4921,2021-10-25 05:00:00,0.74715,0.74754,0.74691,0.7475,1800,0,0,10000
4922,2021-10-25 06:00:00,0.7475,0.74887,0.7475,0.74871,2457,0,0,10000
