,time,open,high,low,close,tick_volume,spread,real_volume
3599,2020-08-06 23:00:00,76.401,76.407,76.355,76.365,1240,3,0
3600,2020-08-07 00:00:00,76.362,76.362,76.182,76.298,441,11,0
3601,2020-08-07 01:00:00,76.296,76.367,76.289,76.318,1102,3,0
3602,2020-08-07 02:00:00,76.317,76.378,76.31,76.348,1420,3,0
3603,2020-08-07 03:00:00,76.347,76.436,76.302,76.357,3384,3,0
3604,2020-08-07 04:00:00,76.357,76.363,76.165,76.298,4108,3,0
3605,2020-08-07 05:00:00,76.294,76.306,76.13,76.173,3410,3,0
3606,2020-08-07 06:00:00,76.173,76.19,75.998,76.02,3921,3,0
3607,2020-08-07 07:00:00,76.019,76.124,75.991,76.07,2975,3,0
3608,2020-08-07 08:00:00,76.069,76.095,75.985,76.029,2546,3,0
3609,2020-08-07 09:00:00,76.028,76.154,76.028,76.107,3172,3,0
3610,2020-08-07 10:00:00,76.105,76.264,76.091,76.257,4456,3,0
3611,2020-08-07 11:00:00,76.256,76.262,76.12,76.177,3796,3,0
3612,2020-08-07 12:00:00,76.177,76.23,76.111,76.152,4050,3,0
3613,2020-08-07 13:00:00,76.152,76.187,76.061,76.064,3315,3,0
3614,2020-08-07 14:00:00,76.064,76.131,76.064,76.128,2880,3,0
3615,2020-08-07 15:00:00,76.128,76.252,76.097,76.119,7982,3,0
3616,2020-08-07 16:00:00,76.119,76.12,75.874,75.957,9161,3,0
3617,2020-08-07 17:00:00,75.957,76.032,75.854,76.01,9090,3,0
3618,2020-08-07 18:00:00,76.008,76.016,75.845,75.855,5404,3,0
3619,2020-08-07 19:00:00,75.855,75.878,75.789,75.857,3875,3,0
3620,2020-08-07 20:00:00,75.857,75.857,75.737,75.78,3491,3,0
3621,2020-08-07 21:00:00,75.78,75.802,75.724,75.738,2874,3,0
3622,2020-08-07 22:00:00,75.74,75.838,75.729,75.8,2879,3,0
3623,2020-08-07 23:00:00,75.8,75.879,75.795,75.823,1232,3,0
3624,2020-08-10 00:00:00,75.752,75.881,75.713,75.771,1382,32,0
3625,2020-08-10 01:00:00,75.78,75.838,75.697,75.716,1377,3,0
3626,2020-08-10 02:00:00,75.715,75.786,75.714,75.748,1626,3,0
3627,2020-08-10 03:00:00,75.749,75.845,75.749,75.781,2054,3,0
3628,2020-08-10 04:00:00,75.781,75.816,75.709,75.797,2839,3,0
3629,2020-08-10 05:00:00,75.797,75.867,75.775,75.789,1893,3,0
3630,2020-08-10 06:00:00,75.789,75.817,75.766,75.796,1259,3,0
3631,2020-08-10 07:00:00,75.796,75.822,75.746,75.754,1087,3,0
3632,2020-08-10 08:00:00,75.754,75.794,75.738,75.789,1222,3,0
3633,2020-08-10 09:00:00,75.789,75.848,75.741,75.76,2613,3,0
3634,2020-08-10 10:00:00,75.76,75.859,75.746,75.833,4423,3,0
3635,2020-08-10 11:00:00,75.833,75.865,75.764,75.86,3645,3,0
3636,2020-08-10 12:00:00,75.86,75.893,75.801,75.81,2799,3,0
3637,2020-08-10 13:00:00,75.81,75.869,75.795,75.829,2778,3,0
3638,2020-08-10 14:00:00,75.829,75.867,75.814,75.845,2703,3,0
3639,2020-08-10 15:00:00,75.845,75.906,75.815,75.894,3142,3,0
3640,2020-08-10 16:00:00,75.894,76.018,75.894,75.96,5108,3,0
3641,2020-08-10 17:00:00,75.96,75.977,75.692,75.708,6179,3,0
3642,2020-08-10 18:00:00,75.708,75.806,75.685,75.805,4172,3,0
3643,2020-08-10 19:00:00,75.805,75.834,75.774,75.802,2788,3,0
3644,2020-08-10 20:00:00,75.801,75.818,75.77,75.797,1809,3,0
3645,2020-08-10 21:00:00,75.798,75.812,75.744,75.762,2229,3,0
3646,2020-08-10 22:00:00,75.762,75.792,75.715,75.776,2186,3,0
3647,2020-08-10 23:00:00,75.775,75.775,75.736,75.748,733,3,0
3648,2020-08-11 00:00:00,75.746,75.757,75.681,75.748,453,15,0
3649,2020-08-11 01:00:00,75.748,75.781,75.724,75.752,895,3,0
3650,2020-08-11 02:00:00,75.752,75.841,75.74,75.839,1014,3,0
3651,2020-08-11 03:00:00,75.839,75.942,75.839,75.864,2969,3,0
3652,2020-08-11 04:00:00,75.864,76.009,75.856,75.995,2798,3,0
3653,2020-08-11 05:00:00,75.995,76.105,75.96,76.079,2276,3,0
3654,2020-08-11 06:00:00,76.079,76.133,76.046,76.133,1756,3,0
3655,2020-08-11 07:00:00,76.133,76.206,76.114,76.176,1601,3,0
3656,2020-08-11 08:00:00,76.175,76.248,76.117,76.12,2068,3,0
3657,2020-08-11 09:00:00,76.12,76.156,75.98,76.04,4071,3,0
3658,2020-08-11 10:00:00,76.04,76.167,76.03,76.091,4828,3,0
3659,2020-08-11 11:00:00,76.091,76.138,76.028,76.116,4747,3,0
3660,2020-08-11 12:00:00,76.116,76.21,76.106,76.143,4850,3,0
3661,2020-08-11 13:00:00,76.144,76.224,76.133,76.17,3552,3,0
3662,2020-08-11 14:00:00,76.17,76.216,76.108,76.11,4022,3,0
3663,2020-08-11 15:00:00,76.11,76.204,76.11,76.152,5869,3,0
3664,2020-08-11 16:00:00,76.152,76.255,76.066,76.226,8821,3,0
3665,2020-08-11 17:00:00,76.226,76.266,76.13,76.244,7316,0,0
3666,2020-08-11 18:00:00,76.244,76.33,76.208,76.233,5581,0,0
3667,2020-08-11 19:00:00,76.233,76.327,76.233,76.314,3665,0,0
3668,2020-08-11 20:00:00,76.315,76.331,76.26,76.324,3872,0,0
3669,2020-08-11 21:00:00,76.324,76.335,76.209,76.284,3575,0,0
3670,2020-08-11 22:00:00,76.283,76.284,76.016,76.054,4849,0,0
3671,2020-08-11 23:00:00,76.054,76.096,75.981,76.071,2024,0,0
3672,2020-08-12 00:00:00,76.065,76.119,75.997,76.065,1050,5,0
3673,2020-08-12 01:00:00,76.065,76.136,76.063,76.121,1292,0,0
3674,2020-08-12 02:00:00,76.121,76.137,76.066,76.088,1849,0,0
3675,2020-08-12 03:00:00,76.088,76.206,76.018,76.068,4664,0,0
3676,2020-08-12 04:00:00,76.067,76.138,76.013,76.057,4590,0,0
3677,2020-08-12 05:00:00,76.057,76.077,75.86,75.97,5425,0,0
3678,2020-08-12 06:00:00,75.97,76.043,75.921,76.005,3978,0,0
3679,2020-08-12 07:00:00,76.005,76.031,75.914,75.959,2888,0,0
3680,2020-08-12 08:00:00,75.959,75.986,75.892,75.96,2517,0,0
3681,2020-08-12 09:00:00,75.96,76.115,75.944,76.057,4234,0,0
3682,2020-08-12 10:00:00,76.056,76.165,76.03,76.127,5563,0,0
3683,2020-08-12 11:00:00,76.129,76.169,76.063,76.115,4752,0,0
3684,2020-08-12 12:00:00,76.116,76.236,76.069,76.197,4022,0,0
3685,2020-08-12 13:00:00,76.197,76.302,76.187,76.277,3273,0,0
3686,2020-08-12 14:00:00,76.277,76.321,76.181,76.256,3758,0,0
3687,2020-08-12 15:00:00,76.256,76.426,76.2,76.322,6158,0,0
3688,2020-08-12 16:00:00,76.322,76.457,76.318,76.364,7709,0,0
3689,2020-08-12 17:00:00,76.364,76.684,76.287,76.662,7376,0,0
3690,2020-08-12 18:00:00,76.662,76.717,76.556,76.581,4885,0,0
3691,2020-08-12 19:00:00,76.581,76.693,76.566,76.603,3232,0,0
3692,2020-08-12 20:00:00,76.604,76.632,76.538,76.578,2807,0,0
3693,2020-08-12 21:00:00,76.577,76.598,76.528,76.532,2310,0,0
3694,2020-08-12 22:00:00,76.532,76.612,76.494,76.51,2903,0,0
3695,2020-08-12 23:00:00,76.51,76.58,76.503,76.544,1585,0,0
3696,2020-08-13 00:00:00,76.499,76.552,76.452,76.509,455,18,0
3697,2020-08-13 01:00:00,76.509,76.593,76.509,76.577,811,1,0
3698,2020-08-13 02:00:00,76.577,76.588,76.496,76.546,1255,0,0
3699,2020-08-13 03:00:00,76.546,76.69,76.513,76.547,3541,0,0
3700,2020-08-13 04:00:00,76.547,76.675,76.475,76.545,4769,0,0
3701,2020-08-13 05:00:00,76.545,76.558,76.455,76.5,2736,0,0
3702,2020-08-13 06:00:00,76.5,76.519,76.455,76.503,1889,0,0
3703,2020-08-13 07:00:00,76.503,76.54,76.461,76.5,1725,0,0
3704,2020-08-13 08:00:00,76.501,76.533,76.414,76.447,2158,0,0
3705,2020-08-13 09:00:00,76.447,76.496,76.401,76.465,3617,0,0
3706,2020-08-13 10:00:00,76.465,76.51,76.347,76.415,4579,0,0
3707,2020-08-13 11:00:00,76.415,76.537,76.372,76.513,4349,0,0
3708,2020-08-13 12:00:00,76.513,76.567,76.466,76.566,3327,0,0
3709,2020-08-13 13:00:00,76.566,76.67,76.556,76.626,3426,0,0
3710,2020-08-13 14:00:00,76.626,76.702,76.551,76.588,4418,0,0
3711,2020-08-13 15:00:00,76.588,76.692,76.557,76.666,4682,0,0
