time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/value_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
5834752,659,8852,2849,28480,3.035504949092865,-0.0909644365310669,0.10959663,0.331689453125,0.2,4.7972308322787285,0.013561159287928604,0.0003,0.022217195481061935,1.4202784299850464,9989.0,-2227.8126576399995
5836800,659,8855,2850,28490,57.40390787124634,0.0037239789962768555,0.048408758,0.2681640625,0.2,4.7957574620842935,0.010955765837570653,0.0003,0.0221167653799057,30.344310760498047,9989.0,-2227.8126576399995
5838848,659,8858,2851,28500,6.805927130579948,-0.0072852373123168945,0.051536176,0.297607421875,0.2,4.815547212958336,0.010845450568012893,0.0003,0.021786369383335114,2.761465549468994,9989.0,-2227.8126576399995
5840896,659,8862,2852,28510,1.960307440534234,-0.06952810287475586,0.053361196,0.313134765625,0.2,4.8255395740270615,0.016058745491318405,0.0003,0.02186332456767559,0.9862390756607056,9989.0,-2227.8126576399995
5842944,659,8865,2853,28520,1.7163366854190827,-0.03202199935913086,0.04189841,0.319970703125,0.2,4.826345080137253,0.01555855325423181,0.0003,0.021760642528533936,0.7092346549034119,9989.0,-2227.8126576399995
5844992,659,8868,2854,28530,2.1042072771117093,-0.10017764568328857,0.11495873,0.3826171875,0.2,4.827906556427479,0.020253356754255946,0.0003,0.021890468895435333,0.7380377054214478,9989.0,-2244.33821942
5847040,659,8871,2855,28540,73.43962358236313,0.005400955677032471,0.054259423,0.297705078125,0.2,4.8199650138616565,0.012947310850722715,0.0003,0.0218922458589077,39.24724578857422,9989.0,-2244.33821942
5849088,659,8874,2856,28550,6.9561372011899945,-0.013792872428894043,0.0564946,0.292578125,0.2,4.823353253304958,0.011224310430407058,0.0003,0.021805932745337486,3.4158096313476562,9989.0,-2244.33821942
5851136,659,8877,2857,28560,1.7047648526728154,-0.154260516166687,0.06285341,0.326220703125,0.2,4.816563418507576,0.01208691463980358,0.0003,0.022005312144756317,0.8304439783096313,9989.0,-2244.33821942
5853184,659,8880,2858,28570,2.0822278916835786,-0.052358150482177734,0.03252896,0.32734375,0.2,4.8023703917860985,0.0201169218387804,0.0003,0.022106897085905075,0.8611657619476318,9989.0,-2244.33821942
