rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/std,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/learning_rate
1071.0,1039,2.15670305,454656,222,437,0.0018503270686778706,-0.0032640910671034363,0.2936456799507141,0.2,0.3499377965927124,-0.27075552558526395,0.023393964,-0.016119465231895447,0.223779296875,2210,0.0003
1071.0,1040,2.1683373200000005,456704,223,439,0.002217255647337879,-0.007924684829777106,0.2929762005805969,0.2,0.384879469871521,-0.25760147646069526,0.018841324,0.004318720195442438,0.225048828125,2220,0.0003
1071.0,1040,2.1849369100000002,458752,224,440,0.002230928104654595,-0.00435754985519452,0.2873319983482361,0.2,0.4010721445083618,-0.23564540473744272,0.021384556,-0.04348137229681015,0.226025390625,2230,0.0003
1071.0,1040,2.1964215400000002,460800,225,442,0.0019585518355597744,-0.006897127158299554,0.2843850553035736,0.2,0.3596951961517334,-0.21096713300794362,0.016633932,0.0015922575257718563,0.222900390625,2240,0.0003
1071.0,1040,2.21247821,462848,226,444,0.0019712572197022383,-0.006242721596208867,0.28539860248565674,0.2,0.416070818901062,-0.21149585098028184,0.02091878,-0.031187916174530983,0.209814453125,2250,0.0003
1071.0,1041,2.2271338099999998,464896,227,446,0.0019103538046692848,-0.001409332013281528,0.2811763286590576,0.2,0.41453027725219727,-0.19933255594223737,0.018865079,0.022954916581511497,0.22099609375,2260,0.0003
1071.0,1041,2.2318237499999998,466944,228,448,0.0020430821070476666,-0.006405974644439994,0.2801230251789093,0.2,0.4064790606498718,-0.18229542933404447,0.024810078,-0.011573604308068752,0.232080078125,2270,0.0003
1071.0,1042,2.24018471,468992,229,450,0.0017056552547728642,-0.005236584761587437,0.2805083394050598,0.2,0.3338707685470581,-0.17906892225146293,0.024779513,-0.024386856704950333,0.222998046875,2280,0.0003
1071.0,1041,2.25305466,471040,230,452,0.00213763697684044,-0.007103253570676316,0.2824794054031372,0.2,0.39717286825180054,-0.18147372584789992,0.02596987,-0.04337531328201294,0.25400390625,2290,0.0003
1071.0,1041,2.26294958,473088,231,454,0.002010317466010747,-0.007386706785473507,0.28199303150177,0.2,0.38967186212539673,-0.17924597710371018,0.019920263,0.008972272276878357,0.2279296875,2300,0.0003
