time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/std,train/clip_fraction,train/learning_rate
8042496,3927,1.78563545,9054,888,1071.0,0.0009166246532913647,0.278838574886322,0.009891701118613127,0.027374376,0.039894770830869675,2.5184584982693194,39260,0.2,0.069416344165802,0.311767578125,0.0003
8044544,3928,1.78602345,9057,888,1071.0,0.0009941433202584448,0.28765004873275757,0.003626659550354816,0.04838696,0.00963896419852972,2.4967299588024616,39270,0.2,0.0708000436425209,0.31767578125,0.0003
8046592,3929,1.7868445199999996,9059,888,1071.0,0.0010622628290548163,0.2817087769508362,0.003720849409000948,0.04168954,-0.05430936813354492,2.492143750190735,39280,0.2,0.07007745653390884,0.33515625,0.0003
8048640,3930,1.78881794,9061,888,1071.0,0.0011124169159302255,0.28261399269104004,0.006876291250227951,0.059098206,0.05491206422448158,2.502830772101879,39290,0.2,0.06991240382194519,0.322998046875,0.0003
8050688,3931,1.78833587,9064,888,1071.0,0.000996587337431265,0.2954822778701782,0.0010740868339780719,0.05126004,-0.028934013098478317,2.506931246072054,39300,0.2,0.0701296404004097,0.298681640625,0.0003
8052736,3932,1.7879848099999998,9066,888,1071.0,0.0009101705705688801,0.2938954830169678,0.00801913940522354,0.03110911,0.012634212151169777,2.504739265143871,39310,0.2,0.07002027332782745,0.312939453125,0.0003
8054784,3933,1.7897432200000003,9068,888,1071.0,0.0010407065808067273,0.2865726947784424,0.004271500566392206,0.027147844,0.021236196160316467,2.514913189411163,39320,0.2,0.06927822530269623,0.29111328125,0.0003
8056832,3934,1.7892793200000003,9070,888,1071.0,0.0009492708271864103,0.30343353748321533,0.008091042144224047,0.052877713,0.04775848984718323,2.5221609592437746,39330,0.2,0.0699998289346695,0.337744140625,0.0003
8058880,3935,1.7917510900000002,9073,888,1071.0,0.0009490270555033931,0.27607178688049316,0.008937873592367395,0.06032051,0.005649540573358536,2.5183259673416614,39340,0.2,0.06957220286130905,0.32578125,0.0003
8060928,3936,1.78842194,9075,888,1071.0,0.0009412029441591585,0.2959660291671753,0.0022636181558482347,0.036623687,0.012674922123551369,2.5200824849307537,39350,0.2,0.06978409737348557,0.290234375,0.0003
8062976,3937,1.78870449,9077,888,1071.0,0.0009627845905015419,0.29077136516571045,0.008343449837411754,0.033961467,0.004017247352749109,2.5213340155780317,39360,0.2,0.06931408494710922,0.3302734375,0.0003
