Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
1080,116640,2024-03-08,5902.870000000004,0.51043755,1,0.0,-0.4737310461387956,True,111,152,263,"{'r': -0.473731, 'l': 1070, 't': 284.978206}",False
1080,117710,2024-03-08,3765.960000000001,-0.7309326,0,-0.012486954515179931,-0.9311761512705176,True,119,156,275,"{'r': -0.931176, 'l': 1070, 't': 287.495604}",False
1080,118780,2024-03-08,4391.679999999999,0.1846242,0,0.0,-0.7731321242631329,True,111,150,261,"{'r': -0.773132, 'l': 1070, 't': 290.317441}",False
1080,119850,2024-03-08,4663.150000000003,-1.0,2,0.0,-0.711627128810587,True,115,154,269,"{'r': -0.711627, 'l': 1070, 't': 293.352962}",False
1080,120920,2024-03-08,6128.699999999991,-1.0,0,-0.012064079541681082,-0.4379622467594012,True,125,151,276,"{'r': -0.437962, 'l': 1070, 't': 296.395767}",False
1080,121990,2024-03-08,8023.810000000012,1.0,1,0.0,-0.17056059076747027,True,111,141,252,"{'r': -0.170561, 'l': 1070, 't': 299.301459}",False
1080,123060,2024-03-08,6995.5399999999945,-1.0,0,0.012483192918519858,-0.3067357091413932,True,118,144,262,"{'r': -0.306736, 'l': 1070, 't': 302.166766}",False
1080,124130,2024-03-08,5292.599999999996,1.0,2,0.0,-0.5836937979725625,True,114,151,265,"{'r': -0.583694, 'l': 1070, 't': 305.024413}",False
1080,125200,2024-03-08,4691.219999999995,1.0,0,-0.012064837180505049,-0.7081264412100371,True,110,155,265,"{'r': -0.708126, 'l': 1070, 't': 307.965609}",False
1080,126270,2024-03-08,6388.200000000003,-1.0,2,0.0,-0.39150525687945953,True,101,140,241,"{'r': -0.391505, 'l': 1070, 't': 311.009017}",False
1080,127340,2024-03-08,9385.790000000003,-1.0,2,0.0,-0.007638036486886856,True,114,131,245,"{'r': -0.007638, 'l': 1070, 't': 313.936908}",False
1080,128410,2024-03-08,9146.349999999997,-1.0,2,0.0,-0.036857568968486625,True,119,128,247,"{'r': -0.036858, 'l': 1070, 't': 316.840334}",False
1080,129480,2024-03-08,9403.85999999999,-0.22754101,0,0.0,-0.01060995584863033,True,130,128,258,"{'r': -0.01061, 'l': 1070, 't': 319.319546}",False
1080,130550,2024-03-08,6412.650000000002,-0.15047228,0,0.0,-0.3906112593355566,True,114,152,266,"{'r': -0.390611, 'l': 1070, 't': 321.792536}",False
1080,131620,2024-03-08,5354.809999999996,-0.9847208,2,0.0,-0.572041466389493,True,121,166,287,"{'r': -0.572041, 'l': 1070, 't': 324.245469}",False
1080,132690,2024-03-08,6825.329999999987,-1.0,2,0.0,-0.3314814055752497,True,129,149,278,"{'r': -0.331481, 'l': 1070, 't': 326.726357}",False
1080,133760,2024-03-08,8052.090000000005,1.0,1,0.0,-0.16332831880747722,True,129,155,284,"{'r': -0.163328, 'l': 1070, 't': 329.194649}",False
1080,134830,2024-03-08,11410.660000000013,0.49830952,0,-0.012062358549538577,0.17498889807967274,True,127,140,267,"{'r': 0.174989, 'l': 1070, 't': 331.69406}",False
1080,135900,2024-03-08,5120.2499999999945,-1.0,0,0.012483389755433958,-0.6225780703877757,True,113,153,266,"{'r': -0.622578, 'l': 1070, 't': 334.157429}",False
1080,136970,2024-03-08,7717.279999999987,-1.0,2,0.0,-0.21020239478518357,True,129,154,283,"{'r': -0.210202, 'l': 1070, 't': 336.66848}",False
