time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,train/value_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/std,train/explained_variance,train/clip_range,train/entropy_loss
634880,1.82734083,310,1071.0,890,712,0.0014495580771836103,0.0244375,0.260791015625,0.0003,-0.037833668291568756,3090,-0.005376473678916227,0.21862880885601044,0.3879624009132385,0.2,0.21073764078319074
636928,1.8244187299999999,311,1071.0,890,715,0.0013656594574058545,0.026991025,0.26533203125,0.0003,0.0019416111754253507,3100,-0.005466716425144113,0.2169259786605835,0.38542842864990234,0.2,0.237845903262496
638976,1.8262921499999998,312,1071.0,890,717,0.0015192183329418186,0.017360833,0.229931640625,0.0003,0.011899142526090145,3110,-0.0033264304918702694,0.21209847927093506,0.4113796353340149,0.2,0.2682465773075819
641024,1.8223361799999998,313,1071.0,890,719,0.0013263382017612458,0.02266631,0.257568359375,0.0003,-0.007669731508940458,3120,-0.0013430299732135609,0.21048307418823242,0.3385581374168396,0.2,0.29943731240928173
643072,1.8196142099999997,314,1071.0,890,722,0.001230380462584435,0.027262706,0.245947265625,0.0003,-0.041044581681489944,3130,-0.0016944924253039062,0.21123738586902618,0.40084224939346313,0.2,0.3017666798084974
645120,1.8240150699999997,315,1071.0,890,724,0.0012328726590567385,0.030609181,0.259033203125,0.0003,0.0011345328530296683,3140,0.00024634893488837404,0.2096400260925293,0.4547484517097473,0.2,0.31144183240830897
647168,1.8176515100000001,316,1071.0,890,726,0.001391534808135475,0.030337933,0.25107421875,0.0003,-0.005277957767248154,3150,-0.0055959724064450714,0.20758575201034546,0.4074665307998657,0.2,0.3278311438858509
649216,1.8196931500000004,317,1071.0,890,728,0.0013642534111568238,0.018653464,0.235107421875,0.0003,-0.01544330082833767,3160,-0.005446948425378651,0.20636975765228271,0.4135776162147522,0.2,0.34377167373895645
651264,1.8278016700000004,318,1071.0,890,731,0.001432775151261012,0.035935346,0.292822265625,0.0003,-0.020332839339971542,3170,0.004626717005157844,0.20719939470291138,0.42415058612823486,0.2,0.3477656666189432
653312,1.83303252,319,1071.0,890,733,0.0015757426443087752,0.03486505,0.265771484375,0.0003,0.006978424731642008,3180,-0.002874929562676698,0.20924222469329834,0.41898250579833984,0.2,0.3343984391540289
