time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/loss,train/std,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
988,1712128,209,1731,0.0007909978383395355,0.2,0.008496752,-0.7202706218231469,-0.006080073770135641,0.35980546474456787,2080,0.10286865234375,-0.0050896406173706055,0.0009212471983573778,0.0003,0.8115184900000001,4989.0
988,1720320,210,1739,-0.0005881303000933258,0.2,0.007858312,-0.7029521846678108,0.0033952388912439346,0.35618656873703003,2090,0.0829345703125,0.056144893169403076,0.00123990356350987,0.0003,0.8286800099999999,4989.0
988,1728512,211,1747,-0.0010545235978497657,0.2,0.007170841,-0.696038528624922,-0.010111548006534576,0.3569813370704651,2100,0.085791015625,-0.02595996856689453,0.0009709304371881445,0.0003,0.8286800099999999,4989.0
989,1736704,212,1755,0.0006167924049805152,0.2,0.008604907,-0.6780234232079237,0.007533397525548935,0.35150885581970215,2110,0.0941162109375,0.024883270263671875,0.0006800750092907038,0.0003,0.85903098,4989.0
989,1744896,213,1763,0.0003291096232715063,0.2,0.008447918,-0.6591256737243384,0.012201070785522461,0.3483728766441345,2120,0.08045654296875,0.017409563064575195,0.0012882032631523544,0.0003,0.85903098,4989.0
989,1753088,214,1771,-0.00011847898167616222,0.2,0.007850525,-0.6358052850700915,0.010214676149189472,0.34476885199546814,2130,0.09293212890625,0.004455685615539551,0.001042446449991985,0.0003,0.85903098,4989.0
989,1761280,215,1779,0.0012284846397960791,0.2,0.007391643,-0.6166519917082042,-0.0343702994287014,0.34176480770111084,2140,0.0906982421875,0.0329434871673584,0.0013637359670383375,0.0003,0.8619148499999999,4989.0
989,1769472,216,1787,0.0011414809956477256,0.2,0.008038418,-0.6217123148497194,0.006117630749940872,0.3450506925582886,2150,0.09041748046875,-0.002516627311706543,0.001291395469274903,0.0003,0.8619148499999999,4989.0
989,1777664,217,1795,0.0004988729597243946,0.2,0.0068009347,-0.6106577555183321,0.016453078016638756,0.3413096070289612,2160,0.0927001953125,0.04157721996307373,0.0011351741119142388,0.0003,0.8711302799999998,4989.0
989,1785856,218,1804,-0.0006107842629717198,0.2,0.007399507,-0.594922598451376,-0.009258630685508251,0.33955705165863037,2170,0.08917236328125,0.016988933086395264,0.0008061136442393035,0.0003,0.8711302799999998,4989.0
990,1794048,219,1812,0.0002615828318084823,0.2,0.008739261,-0.5810234578792006,-0.011309415102005005,0.33772990107536316,2180,0.08594970703125,0.0062538981437683105,0.0010317590004206068,0.0003,0.8711302799999998,4989.0
990,1802240,220,1820,-0.00046593916704296134,0.2,0.009233783,-0.5525017138104886,-0.011020362377166748,0.33438819646835327,2190,0.098828125,0.038247644901275635,0.0013049142904947076,0.0003,0.8715543000000001,4989.0
990,1810432,221,1828,-0.0004969259833160322,0.2,0.0076281643,-0.536551836039871,-0.009963111951947212,0.33233800530433655,2200,0.0985107421875,-0.016521811485290527,0.0009311906739867482,0.0003,0.8715543000000001,4989.0
990,1818624,222,1836,0.0011129961065307725,0.2,0.007697576,-0.5146168697625398,-0.008515967056155205,0.3286285698413849,2210,0.10140380859375,0.028768301010131836,0.0012184691849142838,0.0003,0.8599902899999999,4989.0
990,1826816,223,1844,0.001251609170503798,0.2,0.0063240994,-0.4905619143974036,0.01079611387103796,0.3247300684452057,2220,0.0770751953125,-0.008117198944091797,0.0009586094137375767,0.0003,0.8599902899999999,4989.0
990,1835008,224,1852,0.0006701712023641449,0.2,0.007518485,-0.4866936128586531,0.007602811325341463,0.32597237825393677,2230,0.0932861328125,0.005794823169708252,0.0012266667941048582,0.0003,0.8599902899999999,4989.0
990,1843200,225,1860,0.0005510179191333009,0.2,0.006962984,-0.47978713288903235,0.008473280817270279,0.3224601149559021,2240,0.082080078125,0.021886706352233887,0.0015257683317486225,0.0003,0.86013288,4989.0
990,1851392,226,1868,0.0007689633159316145,0.2,0.009588563,-0.4749796594493091,0.0007576167117804289,0.32233956456184387,2250,0.09395751953125,-0.007669329643249512,0.0010226826915868514,0.0003,0.86013288,4989.0
991,1859584,227,1876,0.0013802695371850859,0.2,0.005567965,-0.45509015964344146,0.01718820631504059,0.3187815546989441,2260,0.09588623046875,0.05616557598114014,0.001274556572639085,0.0003,0.90630546,4989.0
991,1867776,228,1884,0.00028363429046294184,0.2,0.009012851,-0.44290282246656715,-0.01224045641720295,0.31748446822166443,2270,0.0921142578125,-0.017547249794006348,0.001105541677020483,0.0003,0.90630546,4989.0
991,1875968,229,1892,0.0009915088725392708,0.2,0.00573265,-0.441986923571676,0.004841221030801535,0.3192766308784485,2280,0.0875732421875,0.016624927520751953,0.0006369627220237817,0.0003,0.92532505,4989.0
991,1884160,230,1900,-0.0011443488529039314,0.2,0.009179724,-0.4204745612572879,0.007603452540934086,0.31371259689331055,2290,0.11131591796875,0.03754526376724243,0.0014319052512746567,0.0003,0.92532505,4989.0
991,1892352,231,1908,0.0003196881127223605,0.2,0.0070867585,-0.39654687568545344,0.005245495121926069,0.311445951461792,2300,0.0904052734375,-0.005373835563659668,0.0009512526631624496,0.0003,0.92532505,4989.0
991,1900544,232,1916,-0.0008918377279769629,0.2,0.008676846,-0.3881437330972403,-0.011368873529136181,0.30959203839302063,2310,0.093310546875,0.0014001727104187012,0.0010833458884007996,0.0003,0.9773627199999997,4989.0
991,1908736,233,1924,0.0007375828728982015,0.2,0.008367597,-0.37939888634718955,0.0010481852805241942,0.3096311092376709,2320,0.0890869140625,-0.004227399826049805,0.0010657903591209106,0.0003,0.9773627199999997,4989.0
992,1916928,234,1932,0.001357828365144087,0.2,0.008299494,-0.3885323318187147,0.0098397396504879,0.3116675913333893,2330,0.09085693359375,0.04528242349624634,0.0009106157735004672,0.0003,0.9864763799999998,4989.0
992,1925120,235,1940,-0.00011211600467504468,0.2,0.0097212605,-0.39009406715631484,-0.0023924424313008785,0.31278467178344727,2340,0.09415283203125,0.004611372947692871,0.0009750772402867369,0.0003,0.9864763799999998,4989.0
992,1933312,236,1948,0.0005365519755287096,0.2,0.007710925,-0.38295561033301057,-0.010801057331264019,0.31133154034614563,2350,0.1018310546875,0.0018200874328613281,0.001280882963123986,0.0003,0.9864763799999998,4989.0
992,1941504,237,1956,-0.000450913078020676,0.2,0.009530544,-0.35206896658055487,-0.00043996854219585657,0.30603817105293274,2360,0.10206298828125,0.02722954750061035,0.0014512521569031377,0.0003,1.0285644799999998,4989.0
992,1949696,238,1964,0.0007397876324830577,0.2,0.008130334,-0.34420681013725696,-0.01023311447352171,0.30555152893066406,2370,0.09698486328125,-0.00015437602996826172,0.001089488182333298,0.0003,1.0285644799999998,4989.0
992,1957888,239,1972,0.0007983474497450516,0.2,0.008012462,-0.31897804923355577,-0.024335434660315514,0.30224722623825073,2380,0.09976806640625,0.043070197105407715,0.000926387196318501,0.0003,1.04645768,4989.0
992,1966080,240,1980,0.0014910522317222786,0.2,0.0063511315,-0.2992061149794608,-0.00167966284789145,0.30024072527885437,2390,0.10140380859375,0.011208832263946533,0.0009867659866131361,0.0003,1.04645768,4989.0
992,1974272,241,1988,0.0012279279952053912,0.2,0.007328549,-0.3065947795286775,0.004270400386303663,0.30154430866241455,2400,0.08697509765625,0.008670985698699951,0.0009531918890615998,0.0003,1.04645768,4989.0
992,1982464,242,1996,-0.0008388567948713899,0.2,0.008462962,-0.2862505992408842,-0.013800853863358498,0.29916679859161377,2410,0.1114501953125,0.025661945343017578,0.001574418795485144,0.0003,1.05685102,4989.0
993,1990656,243,2004,0.0008117901859804987,0.2,0.009045408,-0.28567622862756253,0.0010186063591390848,0.30060499906539917,2420,0.096728515625,-0.012746572494506836,0.0010402512390328411,0.0003,1.05685102,4989.0
993,1998848,244,2012,0.0010043246151326458,0.2,0.0075810943,-0.29575648782774805,0.007791109383106232,0.30220478773117065,2430,0.087255859375,0.052545368671417236,0.001374550525633822,0.0003,1.0289356500000002,4989.0
993,2007040,245,2020,0.0004270263667422114,0.2,0.009031705,-0.3055046463385224,0.00192319939378649,0.3032565712928772,2440,0.092236328125,-0.012998819351196289,0.0008564501174078032,0.0003,1.0289356500000002,4989.0
993,2015232,246,2028,0.0010596429936413187,0.2,0.007216252,-0.29062968138605355,0.012077918276190758,0.3006907105445862,2450,0.09306640625,0.007289290428161621,0.0009713221283163875,0.0003,1.0289356500000002,4989.0
993,2023424,247,2036,0.0013198532858950784,0.2,0.013146568,-0.26641890197061,-0.002380732446908951,0.29946887493133545,2460,0.10445556640625,0.02641582489013672,0.001362639055651016,0.0003,1.01087675,4989.0
993,2031616,248,2044,0.000666357639056514,0.2,0.0072359326,-0.2574748536106199,0.0006892634555697441,0.3000265657901764,2470,0.082373046875,0.006363272666931152,0.0008071956330240937,0.0003,1.01087675,4989.0
993,2039808,249,2052,-9.393218970217276e-05,0.2,0.009090178,-0.24359508813358843,-0.00024109316291287541,0.29815971851348877,2480,0.10247802734375,0.0464402437210083,0.0012939600556137521,0.0003,1.04974587,4989.0
993,2048000,250,2060,-0.0001826757474191254,0.2,0.008439472,-0.23173412047326564,0.021573036909103394,0.29696714878082275,2490,0.100244140625,0.009722232818603516,0.0011169705049724143,0.0003,1.04974587,4989.0
994,2056192,251,2068,0.0010922611083515222,0.2,0.008009104,-0.22190678925253451,-0.0017484042327851057,0.2968643307685852,2500,0.08587646484375,0.002773880958557129,0.0006697933599753014,0.0003,1.07249793,4989.0
994,2064384,252,2076,0.0006060510884708492,0.2,0.009555101,-0.20528250690549613,0.0021695690229535103,0.2955020070075989,2510,0.1045166015625,0.041744768619537354,0.0012659472793984604,0.0003,1.07249793,4989.0
994,2072576,253,2084,0.0010240460571367294,0.2,0.007714289,-0.18677149559371173,0.001394045539200306,0.29473304748535156,2520,0.102880859375,-0.006621599197387695,0.0011491053590589218,0.0003,1.07249793,4989.0
994,2080768,254,2092,0.001267930431640707,0.2,0.010935767,-0.16190713266842066,0.01576831564307213,0.2916303277015686,2530,0.10760498046875,0.04401761293411255,0.0012682827258458929,0.0003,1.09059152,4989.0
994,2088960,255,2100,0.0014753348830709,0.2,0.0077402703,-0.15484398622065781,0.011671872809529305,0.2922937870025635,2540,0.10009765625,0.0002511739730834961,0.000886110252281469,0.0003,1.09059152,4989.0
994,2097152,256,2108,0.0005847475611517438,0.2,0.009681424,-0.1340467263944447,0.01881999336183071,0.2875465750694275,2550,0.11986083984375,0.012261033058166504,0.0011685293822438325,0.0003,1.0911056899999998,4989.0
994,2105344,257,2116,0.0001361047605314525,0.2,0.0067732222,-0.1100311417132616,-0.008547855541110039,0.2866593599319458,2560,0.10736083984375,0.025340139865875244,0.0009315891752521566,0.0003,1.0911056899999998,4989.0
